=== Random forest categorical test | backend=ONNXRuntime ===

Category                                           | Type     | Expected | Pred     | Conf   | Time (ms) | Status
Server-Side Request Forgery (Metadata)             | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Server-Side Request Forgery (Localhost)            | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.52 | ✅
Server-Side Request Forgery (Localhost)            | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
XML External Entity (XXE)                          | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
XML External Entity (XXE)                          | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.27 | ✅
SSTI (Jinja2)                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.52 | ✅
SSTI (Jinja2)                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     6.48 | ✅
SSTI (Mako)                                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.21 | ✅
SSTI (Mako)                                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.21 | ✅
Log4Shell Payload                                  | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
Log4Shell Payload                                  | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.22 | ✅
Shellshock                                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.06 | ✅
Shellshock                                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.30 | ✅
LDAP Injection                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
LDAP Injection                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.18 | ✅
XPath Injection                                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.14 | ✅
XPath Injection                                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.86 | ✅
HTTP Parameter Pollution                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.13 | ✅
HTTP Parameter Pollution                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.84 | ✅
CRLF Injection                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.92 | ✅
CRLF Injection                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.05 | ✅
Host Header Injection                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Host Header Injection                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.75 | ✅
Prototype Pollution                                | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
Prototype Pollution                                | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Insecure Deserialization (Pickle)                  | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.34 | ✅
Insecure Deserialization (Pickle)                  | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
GraphQL Introspection                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
GraphQL Introspection                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
JWT Manipulation (alg none)                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
JWT Manipulation (alg none)                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Open Redirect                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Open Redirect                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.27 | ✅
SQL Injection (Wait-for-Delay Bypass)              | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
SQL Injection (Wait-for-Delay Bypass)              | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.17 | ✅
SQL Injection (OOB via DNS)                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
SQL Injection (OOB via DNS)                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.18 | ✅
SQL Injection (In-band via XML)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.69 | ✅
SQL Injection (In-band via XML)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.38 | ✅
XSS via SVG Template                               | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
XSS via SVG Template                               | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
XSS via Polyglot Payload                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.45 | ✅
XSS via Polyglot Payload                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.15 | ✅
XSS via Mutation (mXSS)                            | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
XSS via Mutation (mXSS)                            | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
XSS via Client-Side Template Injection             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
XSS via Client-Side Template Injection             | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Path Traversal (UTF-8 Encoded)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.98 | ✅
Path Traversal (UTF-8 Encoded)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Path Traversal (Windows-specific ..\)              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Path Traversal (Windows-specific ..\)              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Path Traversal (Long Path Bypass)                  | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Path Traversal (Long Path Bypass)                  | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Command Injection (Environmental Variable)         | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Command Injection (Environmental Variable)         | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Command Injection (Globbing Bypass)                | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Command Injection (Globbing Bypass)                | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.48 | ✅
LFI via PHP Expect Wrapper                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.11 | ✅
LFI via PHP Expect Wrapper                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.14 | ✅
LFI via Phar Archive                               | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
LFI via Phar Archive                               | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.17 | ✅
RCE via Java RMI                                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.15 | ✅
RCE via Java RMI                                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.14 | ✅
RCE via Python eval() in JSON                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.17 | ✅
RCE via Python eval() in JSON                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
SSRF via Gopher Protocol                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
SSRF via Gopher Protocol                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.34 | ✅
SSRF via Dict Protocol                             | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.09 | ✅
SSRF via Dict Protocol                             | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.26 | ✅
XXE via Parametric Entities                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
XXE via Parametric Entities                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.27 | ✅
XXE via XInclude                                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.37 | ✅
XXE via XInclude                                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
SSTI (Velocity)                                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.13 | ✅
SSTI (Velocity)                                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.98 | ✅
SSTI (Smarty)                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
SSTI (Smarty)                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
SSTI (Twice)                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
SSTI (Twice)                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
HTTP Request Smuggling (CL.TE)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.64 | ✅
HTTP Request Smuggling (CL.TE)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
HTTP Request Smuggling (TE.CL)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
HTTP Request Smuggling (TE.CL)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.06 | ✅
HTTP Response Splitting                            | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.15 | ✅
HTTP Response Splitting                            | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.49 | ✅
LDAP Injection (Attr filter)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.46 | ✅
LDAP Injection (Attr filter)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.35 | ✅
XPath Injection (Function call)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.16 | ✅
XPath Injection (Function call)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
SMTP Injection (Header manipulation)               | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
SMTP Injection (Header manipulation)               | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
IMAP Injection                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
IMAP Injection                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
NoSQL Injection (JavaScript Execution $where)      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.45 | ✅
NoSQL Injection (JavaScript Execution $where)      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.04 | ✅
NoSQL Injection (Bitwise operations)               | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
NoSQL Injection (Bitwise operations)               | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Prototype Pollution (Node.js)                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Prototype Pollution (Node.js)                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Object Injection (PHP)                             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Object Injection (PHP)                             | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.29 | ✅
Insecure Deserialization (Java SerialVersionUID)   | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Insecure Deserialization (Java SerialVersionUID)   | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.03 | ✅
Insecure Deserialization (.NET TypeNameHandling)   | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Insecure Deserialization (.NET TypeNameHandling)   | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
GraphQL Injection (Aliasing)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.22 | ✅
GraphQL Injection (Aliasing)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
GraphQL Injection (Batching)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
GraphQL Injection (Batching)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     5.23 | ✅
JWT Injection (Kid manipulation)                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
JWT Injection (Kid manipulation)                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
JWT Injection (Jku redirection)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
JWT Injection (Jku redirection)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Clickjacking (X-Frame-Options bypass attempt)      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Clickjacking (X-Frame-Options bypass attempt)      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Tabnabbing (target="_blank" without noopener)      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Tabnabbing (target="_blank" without noopener)      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Cache Poisoning Request                            | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Cache Poisoning Request                            | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Slowloris Header Pattern                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Slowloris Header Pattern                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
BREACH Attack Payload                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
BREACH Attack Payload                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
WebSocket Injection (Malformed frame)              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
WebSocket Injection (Malformed frame)              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Server-Side Request Forgery via PDF Generator      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.42 | ✅
Server-Side Request Forgery via PDF Generator      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Blind SQLi via User-Agent Header                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Blind SQLi via User-Agent Header                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Path Traversal via ZIP Slip                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Path Traversal via ZIP Slip                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
RCE via Spring4Shell (CVE-2022-22965)              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
RCE via Spring4Shell (CVE-2022-22965)              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Real user data capture                             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Real user data capture                             | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
SQL Injection (Wait-for-Delay Bypass)              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
SQL Injection (Wait-for-Delay Bypass)              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
SQL Injection (OOB via DNS)                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
SQL Injection (OOB via DNS)                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
SQL Injection (In-band via XML)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
SQL Injection (In-band via XML)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
SQL Injection (Blind via Error Message)            | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
SQL Injection (Blind via Error Message)            | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.27 | ✅
Java Attack                                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.80 | ✅
Java Attack                                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.62 | ✅
TestReal1                                          | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
TestReal1                                          | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.19 | ✅
TestReal2                                          | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.24 | ✅
TestReal2                                          | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
Attack_PDF_2                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_2                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_3                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_3                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_PDF_4                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.44 | ✅
Attack_PDF_4                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
Attack_PDF_5                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_PDF_5                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_PDF_6                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_PDF_6                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_7                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_7                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_8                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
Attack_PDF_8                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_9                                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.41 | ✅
Attack_PDF_9                                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.17 | ✅
Attack_PDF_10                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.03 | ✅
Attack_PDF_10                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.41 | ✅
Attack_PDF_11                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
Attack_PDF_11                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_12                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_12                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.28 | ✅
Attack_PDF_13                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
Attack_PDF_13                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_14                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
Attack_PDF_14                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
Attack_PDF_15                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_15                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_16                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_16                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_17                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.15 | ✅
Attack_PDF_17                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Attack_PDF_18                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_18                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.43 | ✅
Attack_PDF_19                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.60 | ✅
Attack_PDF_19                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_20                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.28 | ✅
Attack_PDF_20                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.24 | ✅
Attack_PDF_21                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_PDF_21                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_22                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_22                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_23                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Attack_PDF_23                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.22 | ✅
Attack_PDF_24                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
Attack_PDF_24                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
Attack_PDF_25                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.01 | ✅
Attack_PDF_25                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_26                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
Attack_PDF_26                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
Attack_PDF_27                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_27                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_28                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.51 | ✅
Attack_PDF_28                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.09 | ✅
