method,url,headers,body,label
GET,/product,"User-Agent: Mozilla/5.0
X-Request-ID: CynQ7wbPXZct",username=%253Csvg/onload%253Dalert%25281%2529%253E,1
PUT,/login?username=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: auj6fMKaAQhj",,0
POST,/checkout,"User-Agent: Mozilla/5.0
X-Request-ID: QOUcD3LQYu0b",search=%26%26%20cat%20/etc/passwd,1
GET,/product?search=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: oQD9eybkJa9w",,1
GET,/search?q=%2527%2520UNION%2520SELECT%2520NULL%252CNULL%2520--,"User-Agent: Mozilla/5.0
X-Request-ID: ejuLwARNhh3S",,1
POST,/product,"User-Agent: Mozilla/5.0
X-Request-ID: zvsIt6EU3Gv6",page=%3Cscript%3Ealert%281%29%3C/script%3E,1
POST,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: uSbqwURf5Pu0",lang=%2527%253B%2520DROP%2520TABLE%2520users%253B%2520--,1
PUT,/checkout?username=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: AnYlyKOfeR6d",,0
GET,/docs?q=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: xBltWaLyT33Z",,0
GET,/checkout?page=%2524%2528whoami%2529,"User-Agent: Mozilla/5.0
X-Request-ID: QxfjBKd4tjsI",,1
GET,/checkout?q=1%2520OR%2520TRUE,"User-Agent: Mozilla/5.0
X-Request-ID: NjANGcEiqiwD",,1
PUT,/images?username=alert%2528String.fromCharCode%252888%252C83%252C83%2529%2529,"User-Agent: Mozilla/5.0
X-Request-ID: b6uZRfDURnWS",,1
POST,/product,"User-Agent: Mozilla/5.0
X-Request-ID: lgHnVuJnenLk",ref=<script>alert(1)</script>,1
PUT,/docs?query=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: XmlsCL6Cjt8N",,0
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: DHVEBLurLNB5",lang=<script>alert(1)</script>,1
GET,/checkout?search=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: aWzGLgwfHVOa",,0
POST,/blog?id=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: DP9u0x5yaGEW",,0
POST,/api/user?username=1 OR TRUE,"User-Agent: Mozilla/5.0
X-Request-ID: Wn5epT0ugG9H",,1
GET,/login?id=%253Csvg/onload%253Dalert%25281%2529%253E,"User-Agent: Mozilla/5.0
X-Request-ID: ELyqjmX6JkE2",,1
PUT,/search,"User-Agent: Mozilla/5.0
X-Request-ID: 6c3oUAuWHweN",search=1%20OR%20TRUE,1
PUT,/checkout?page=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: nPrmElMwVYB3",,0
PUT,/login?username=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: RdfsWbZZ2BtH",,0
POST,/docs?ref=....//....//etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: DxyN0mkoOsPm",,1
POST,/docs?username=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: kytiwrE0y4P9",,0
POST,/blog?ref=%26%26%20cat%20/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: VrXshrNutBGN",,1
GET,/checkout?id=%27%20AND%20SLEEP%285%29--,"User-Agent: Mozilla/5.0
X-Request-ID: JTQW2ZISzJrr",,1
PUT,/blog?username=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: ol9ImyKxvOSu",,0
GET,/images?q=../images/banner.png,"User-Agent: Mozilla/5.0
X-Request-ID: jQ7pD7p3wCqI",,0
PUT,/login?query=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: XJAofjcoYrwG",,0
POST,/images?file=; ls -la,"User-Agent: Mozilla/5.0
X-Request-ID: zwqoUd4de67l",,1
PUT,/images?ref=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: rEd0VQMNMPFx",,0
PUT,/docs?query=/etc/shadow,"User-Agent: Mozilla/5.0
X-Request-ID: 5PXBF3b32iJ5",,1
POST,/blog?page=%253Csvg/onload%253Dalert%25281%2529%253E,"User-Agent: Mozilla/5.0
X-Request-ID: g3RZmZO2TTRr",,1
POST,/search,"User-Agent: Mozilla/5.0
X-Request-ID: gZgmFsa3bf8j",lang=....//....//etc/passwd,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: NXjXuwNeXndX",query=<svg/onload=alert(1)>,1
GET,/checkout?search=| whoami,"User-Agent: Mozilla/5.0
X-Request-ID: PjwiSgXxO8Kf",,1
PUT,/checkout?page=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: eNkNYDUveaPq",,0
POST,/images?lang=<img src=x onerror=alert(1)>,"User-Agent: Mozilla/5.0
X-Request-ID: aQRGkFkmDgVj",,1
GET,/search,"User-Agent: Mozilla/5.0
X-Request-ID: HwMlMjdcV8zw",file=%7C%20whoami,1
POST,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: kMuDgzZAB12c",id=1%20OR%20TRUE,1
GET,/blog?q=price>100,"User-Agent: Mozilla/5.0
X-Request-ID: FLyoDGn8HuqS",,0
PUT,/api/user?search=<svg/onload=alert(1)>,"User-Agent: Mozilla/5.0
X-Request-ID: c76MLJfVvd5Z",,1
GET,"/blog?page=alert(String.fromCharCode(88,83,83))","User-Agent: Mozilla/5.0
X-Request-ID: b7PIgoTzLbkX",,1
POST,/login?q=price>100,"User-Agent: Mozilla/5.0
X-Request-ID: H7W6WM6p9eEo",,0
POST,/checkout?ref=%27%20UNION%20SELECT%20NULL%2CNULL%20--,"User-Agent: Mozilla/5.0
X-Request-ID: 6cAk9HMH9POi",,1
GET,/search?query=%24%28whoami%29,"User-Agent: Mozilla/5.0
X-Request-ID: jADB0xSSPcRj",,1
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: 1g8rIfwELjKR",file=<img src=x onerror=alert(1)>,1
POST,/checkout?lang=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: chKLmJv1csoe",,0
GET,/checkout?file=script analysis tool,"User-Agent: Mozilla/5.0
X-Request-ID: AOHf7M91cgR5",,0
GET,/login,"User-Agent: Mozilla/5.0
X-Request-ID: xQP9yiPlSvpb",lang=alert%28String.fromCharCode%2888%2C83%2C83%29%29,1
PUT,/checkout?page=whoami book review,"User-Agent: Mozilla/5.0
X-Request-ID: pXSjRBj0XTEN",,0
GET,/search?username=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: 4NWd6xmwrYXL",,0
PUT,/images,"User-Agent: Mozilla/5.0
X-Request-ID: hWgv4dsHwRNw",query=....//....//etc/passwd,1
PUT,/product?query=%2526%2526%2520cat%2520/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: hcu7mnTBgL5I",,1
PUT,/product?ref=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: wqaNB8eZoqtJ",,0
GET,/images?page=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: xU2sCRyd5YMM",,0
POST,/login?q=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: yX4hFYbAAse8",,0
POST,/checkout?lang=100%25 organic food,"User-Agent: Mozilla/5.0
X-Request-ID: nSpwjzCPtt1M",,0
GET,/api/user?ref=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: b0YCGpWKV5aa",,0
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: 6YS9LWatYp4y",page=; ls -la,1
GET,/images?lang=%2527%2520OR%25201%253D1%2520--,"User-Agent: Mozilla/5.0
X-Request-ID: 4S6DUk5DRyTN",,1
POST,/docs?id=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: 7DOOJpZ46Riy",,0
PUT,/login,"User-Agent: Mozilla/5.0
X-Request-ID: YiAZZdjXC2SE",ref=%2527%2520UNION%2520SELECT%2520NULL%252CNULL%2520--,1
GET,/blog?lang=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: I0jiSpxlABZ0",,0
PUT,/blog?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: ADkIZ9OZLK8w",,0
PUT,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: Ii96YLEWn5uk",search=| whoami,1
PUT,/product?lang=%253B%2520ls%2520-la,"User-Agent: Mozilla/5.0
X-Request-ID: UKUWxjO6LnoE",,1
POST,/blog?file=; ls -la,"User-Agent: Mozilla/5.0
X-Request-ID: vBVO5YQNVqFw",,1
GET,/blog?file=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: OanFdSAM0zKx",,0
GET,/search?file=../images/banner.png,"User-Agent: Mozilla/5.0
X-Request-ID: mbSqsJz4pzfs",,0
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: 3eKhv4fgQaFM",q=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,1
PUT,/product?q=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,"User-Agent: Mozilla/5.0
X-Request-ID: gJCSrA9FDNtS",,1
PUT,/docs?id=%2527%253B%2520DROP%2520TABLE%2520users%253B%2520--,"User-Agent: Mozilla/5.0
X-Request-ID: QVXCiFrDYNu1",,1
POST,/api/user?ref=script analysis tool,"User-Agent: Mozilla/5.0
X-Request-ID: kc3cRG7RVl6H",,0
GET,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: kRuq3ckZvM7I",query=../../etc/passwd,1
POST,/product?lang=alert%28String.fromCharCode%2888%2C83%2C83%29%29,"User-Agent: Mozilla/5.0
X-Request-ID: SLlY9rHyWXNg",,1
PUT,/docs?q=whoami book review,"User-Agent: Mozilla/5.0
X-Request-ID: 0nceOIlajA2I",,0
PUT,"/docs?file=alert(String.fromCharCode(88,83,83))","User-Agent: Mozilla/5.0
X-Request-ID: 3BLEcWKoDs0p",,1
POST,/docs?query=$(whoami),"User-Agent: Mozilla/5.0
X-Request-ID: IwPM0fMOb4uD",,1
GET,/product?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: aNesAddQEqyX",,0
POST,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: OcdJtbLqC5tw",username=/etc/shadow,1
PUT,/search?ref=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: h65nmeyLnqJQ",,1
GET,/docs?lang=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: K4w3nlSHUGt4",,0
GET,/api/user?q=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: 6tPQFvMjflyx",,0
PUT,/docs?search=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: 6xIhsj5FUsU2",,0
POST,/api/user?q=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: ayQlN9BWvaSK",,0
PUT,/blog?id=%27%20UNION%20SELECT%20NULL%2CNULL%20--,"User-Agent: Mozilla/5.0
X-Request-ID: lzX8uBDaC69s",,1
PUT,/login?id=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: oj4NxKuLdyKp",,1
PUT,/product?ref=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: 365GbnS0STL2",,0
PUT,/api/user?page=100%25 organic food,"User-Agent: Mozilla/5.0
X-Request-ID: YQ7EB1w74Xtj",,0
POST,/docs?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: iL5kfVE7AZEE",,0
PUT,/checkout?search=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: KAwwT9fECtAx",,0
POST,/blog?username=....//....//etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: FpqAOkbb0bPK",,1
GET,/product?file=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: GIgsNfOrx5dl",,0
GET,/api/user?page=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: suY6p6amjFok",,1
PUT,/images?page=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: ibTw9zLmvkLg",,0
GET,/product?ref=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: INNI66TCDIGz",,1
POST,/images?file=%3B%20ls%20-la,"User-Agent: Mozilla/5.0
X-Request-ID: Ui422KCrBFKL",,1
POST,/images?file=whoami book review,"User-Agent: Mozilla/5.0
X-Request-ID: YYePHS0K4jOH",,0
POST,/api/user?ref=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: zhyG34L5QLqj",,0
GET,/docs?lang=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: 6C9WR8dnQR3t",,0
PUT,/search?file=%253B%2520ls%2520-la,"User-Agent: Mozilla/5.0
X-Request-ID: 3c4BL2w9Jy6U",,1
PUT,/checkout?ref=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: i2yiht7VFtLA",,0
GET,/search?ref=price>100,"User-Agent: Mozilla/5.0
X-Request-ID: JZnGLLMcA45e",,0
GET,/blog?ref=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: WOIWQ1ZH4cuh",,0
GET,/images?q=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: 495nLdhvU3WX",,0
GET,/checkout?query=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: yFSqGLHvGkTv",,0
PUT,/login,"User-Agent: Mozilla/5.0
X-Request-ID: lTgMme9jjOTP",q=1%2520OR%2520TRUE,1
POST,/docs?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: MIgtOQJtczD3",,0
POST,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: xBT9R6dAA4FP",page=| whoami,1
POST,/login?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: HHqLXf3BJgSX",,0
PUT,/search?search=100%25 organic food,"User-Agent: Mozilla/5.0
X-Request-ID: lM0UjoPG57SY",,0
GET,/images?file=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,"User-Agent: Mozilla/5.0
X-Request-ID: EB0H7gzyD0x4",,1
GET,/search?username=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: bgtylRrOmUC2",,0
GET,/api/user?id=$(whoami),"User-Agent: Mozilla/5.0
X-Request-ID: kRKFJnYoLain",,1
POST,/product?username=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: RtHE5ieZFWEW",,0
PUT,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: J4TsvT1WyxoJ",ref=/etc/shadow,1
POST,/product?ref=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: ZJmCx1p4xjEo",,0
GET,/search?q=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: 7szadzhRjoVU",,0
GET,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: C4KZ3lk9REzR",file=<svg/onload=alert(1)>,1
PUT,/login?username=%253Cimg%2520src%253Dx%2520onerror%253Dalert%25281%2529%253E,"User-Agent: Mozilla/5.0
X-Request-ID: KpGyfIb9gDcF",,1
GET,/product?search=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: nB94wMYsJMde",,0
GET,/login?search=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: 1YIB1eQQEtjI",,0
POST,/docs?id=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: WrBnK2NWHGiI",,0
PUT,/images?username=script analysis tool,"User-Agent: Mozilla/5.0
X-Request-ID: Y4G5HR7Wxa8D",,0
PUT,/search,"User-Agent: Mozilla/5.0
X-Request-ID: 5IUg7fPMGHiR",query=/etc/shadow,1
GET,/search,"User-Agent: Mozilla/5.0
X-Request-ID: HUzSHGF98zx8",username=$(whoami),1
PUT,/checkout?id=%27%20AND%20SLEEP%285%29--,"User-Agent: Mozilla/5.0
X-Request-ID: zc7ErTazJHEk",,1
PUT,/product?search=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: NElUDieZCcfy",,0
POST,/login?q=C++ programming tutorial,"User-Agent: Mozilla/5.0
X-Request-ID: aX0UNyXgw2uI",,0
POST,/product,"User-Agent: Mozilla/5.0
X-Request-ID: gvHGd5zvVSCb",id=%26%26%20cat%20/etc/passwd,1
GET,/images?search=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: zDzGgoqg9rNZ",,0
POST,/blog?lang=%2526%2526%2520cat%2520/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: cu4jlE9O8rTR",,1
PUT,/blog?file=%2526%2526%2520cat%2520/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: 0dT0MPQ41o2T",,1
GET,/blog?lang=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: XvYgjykg8Syn",,0
GET,/login?page=whoami book review,"User-Agent: Mozilla/5.0
X-Request-ID: HnP1Lpv9pgmj",,0
POST,/search?search=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: ThAZTwMc9Hu3",,0
POST,/checkout?page=....//....//etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: vLbPQlcxrO1S",,1
GET,/docs?search=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: axE1LaXXTntI",,0
GET,/checkout?ref=whoami book review,"User-Agent: Mozilla/5.0
X-Request-ID: EBaa7JTcer70",,0
POST,/product?q=%2527%2520OR%25201%253D1%2520--,"User-Agent: Mozilla/5.0
X-Request-ID: cq6nndC52mfy",,1
POST,"/api/user?search=' UNION SELECT NULL,NULL --","User-Agent: Mozilla/5.0
X-Request-ID: zfegoU7V86eT",,1
POST,/search?id=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: Ucf9dkDhjtl9",,0
GET,/blog?file=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: OJzRnuDv2NPw",,0
POST,/blog?lang=../../etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: kvjZ4Hy8tuBr",,1
POST,/api/user?file=drop shipping business,"User-Agent: Mozilla/5.0
X-Request-ID: ssmXXkBJPlRm",,0
GET,"/images?query=' UNION SELECT NULL,NULL --","User-Agent: Mozilla/5.0
X-Request-ID: bWYVDCPQD6x2",,1
POST,/images,"User-Agent: Mozilla/5.0
X-Request-ID: 4wl8ETNMhJ5Q",file=<svg/onload=alert(1)>,1
POST,/blog?query=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: 4tWsHQggswvj",,0
GET,/checkout?file=%27%20OR%201%3D1%20--,"User-Agent: Mozilla/5.0
X-Request-ID: 9Hj26IaQqsMd",,1
POST,/images?username=/etc/shadow,"User-Agent: Mozilla/5.0
X-Request-ID: grepHuFgYHKc",,1
PUT,/blog?ref=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: wdgSdZ4FmqvG",,0
POST,/product?username=%3Cscript%3Ealert%281%29%3C/script%3E,"User-Agent: Mozilla/5.0
X-Request-ID: lqwyeLwVBRmE",,1
PUT,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: AAat2nnRLxm8",search=%2527%253B%2520DROP%2520TABLE%2520users%253B%2520--,1
POST,/checkout?ref=%253Cimg%2520src%253Dx%2520onerror%253Dalert%25281%2529%253E,"User-Agent: Mozilla/5.0
X-Request-ID: k1uhs7RGlyKd",,1
POST,/product?query=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: eu6HQ8sySguh",,0
GET,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: 2lIdT72y4i0O",ref=%253Cscript%253Ealert%25281%2529%253C/script%253E,1
PUT,/docs?q='; DROP TABLE users; --,"User-Agent: Mozilla/5.0
X-Request-ID: xp0ZgmhZUFfS",,1
POST,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: naNgw3zypE1F",username=alert%2528String.fromCharCode%252888%252C83%252C83%2529%2529,1
