method,url,headers,body,label
PUT,/checkout,"User-Agent: Mozilla/4.0
X-Request-ID: XIEDXbRu",file=%27%20OR%201%3D1%20--,1
GET,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: KbatHAYG",q=/etc/shadow,1
POST,/product?page=laptop,"User-Agent: Mozilla/6.0
X-Request-ID: uwmgEufd",,0
POST,/api/user?q=true,"User-Agent: Mozilla/6.0
X-Request-ID: WJXuQfYw",,0
POST,/login?username=/etc/shadow,"User-Agent: Mozilla/6.0
X-Request-ID: yrJOnoyC",,1
GET,/login,"User-Agent: Mozilla/4.0
X-Request-ID: StHxTyQc",search=%27%3B%20DROP%20TABLE%20users%3B%20--,1
GET,/login,"User-Agent: Mozilla/5.0
X-Request-ID: QfEodfuu",lang=<img src=x onerror=alert(1)>,1
PUT,/blog?page=%7C%20whoami,"User-Agent: Mozilla/6.0
X-Request-ID: uMakUOcK",,1
GET,/product,"User-Agent: Mozilla/5.0
X-Request-ID: sJGgOiee",lang=| whoami,1
GET,/product,"User-Agent: Mozilla/4.0
X-Request-ID: dlSmBuTr",q=| whoami,1
PUT,/checkout?lang=john,"User-Agent: Mozilla/4.0
X-Request-ID: wtwqfFQj",,0
GET,/login?username=true,"User-Agent: Mozilla/5.0
X-Request-ID: aonSOihD",,0
GET,/blog,"User-Agent: Mozilla/6.0
X-Request-ID: wYEEtiPv",page=%3B%20ls%20-la,1
POST,/search?file=laptop,"User-Agent: Mozilla/5.0
X-Request-ID: YaRcPKuE",,0
PUT,/blog?page=category1,"User-Agent: Mozilla/6.0
X-Request-ID: dDbgKEMA",,0
GET,/blog?search=true,"User-Agent: Mozilla/6.0
X-Request-ID: UWMaVfot",,0
GET,/blog?q=/etc/shadow,"User-Agent: Mozilla/6.0
X-Request-ID: RSVwOoDN",,1
PUT,/search,"User-Agent: Mozilla/4.0
X-Request-ID: oNSKOWln",search=' AND SLEEP(5)--,1
PUT,/login?q=john,"User-Agent: Mozilla/4.0
X-Request-ID: RVSzpSFt",,0
PUT,/product,"User-Agent: Mozilla/6.0
X-Request-ID: TdyJSalx",search=' OR 'a'='a,1
GET,/search?username=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: fnQfwheS",,0
GET,/login?id=category1,"User-Agent: Mozilla/6.0
X-Request-ID: osHnAYqs",,0
GET,/checkout?q=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: RknqxaLO",,0
POST,/checkout?page=&& cat /etc/passwd,"User-Agent: Mozilla/4.0
X-Request-ID: VCeImMMM",,1
POST,/blog?file=%22%20onmouseover%3Dalert%281%29%20%22,"User-Agent: Mozilla/5.0
X-Request-ID: bStqyAGR",,1
PUT,/api/user?file=123,"User-Agent: Mozilla/5.0
X-Request-ID: lCkCoWKU",,0
GET,/blog?search=john,"User-Agent: Mozilla/6.0
X-Request-ID: hPtZcgsC",,0
GET,/blog?page=category1,"User-Agent: Mozilla/5.0
X-Request-ID: SnTznKZw",,0
POST,/product?search=iphone,"User-Agent: Mozilla/4.0
X-Request-ID: hVfwBWjE",,0
POST,/product?q=item45,"User-Agent: Mozilla/6.0
X-Request-ID: hTnwCFeL",,0
PUT,/login,"User-Agent: Mozilla/6.0
X-Request-ID: nKQpstti",page=../../etc/passwd,1
POST,/product,"User-Agent: Mozilla/5.0
X-Request-ID: uZPErUPD",page=' AND SLEEP(5)--,1
PUT,/checkout,"User-Agent: Mozilla/6.0
X-Request-ID: CbHFtAkW",lang=../../etc/passwd,1
POST,/checkout?username=true,"User-Agent: Mozilla/5.0
X-Request-ID: dbzZMXDM",,0
PUT,/login?file=item45,"User-Agent: Mozilla/5.0
X-Request-ID: mJDfGoWv",,0
PUT,/login?q=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,"User-Agent: Mozilla/5.0
X-Request-ID: RuygcKxe",,1
POST,/api/user?q=item45,"User-Agent: Mozilla/4.0
X-Request-ID: DIBhfEXp",,0
PUT,/login,"User-Agent: Mozilla/6.0
X-Request-ID: hPvntnuw",file=%7C%20whoami,1
POST,/checkout?q=item45,"User-Agent: Mozilla/5.0
X-Request-ID: mZsoYKCo",,0
GET,/login?id=english,"User-Agent: Mozilla/6.0
X-Request-ID: CMfLRlUL",,0
GET,/search?username=123,"User-Agent: Mozilla/4.0
X-Request-ID: YWoUbokT",,0
POST,/search?page=item45,"User-Agent: Mozilla/5.0
X-Request-ID: hHBKCPdw",,0
PUT,/login?file=true,"User-Agent: Mozilla/4.0
X-Request-ID: uDSOlyby",,0
POST,/search,"User-Agent: Mozilla/5.0
X-Request-ID: bfDohaIN",file=; ls -la,1
GET,/search,"User-Agent: Mozilla/4.0
X-Request-ID: vucLWznk","file=' UNION SELECT NULL,NULL --",1
PUT,/login?search=%7C%20whoami,"User-Agent: Mozilla/6.0
X-Request-ID: jnOnkayT",,1
POST,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: GNHGTMTH",id=/etc/shadow,1
GET,/search,"User-Agent: Mozilla/5.0
X-Request-ID: Pgpulzpw",search=%22%20onmouseover%3Dalert%281%29%20%22,1
POST,/search?page=' AND SLEEP(5)--,"User-Agent: Mozilla/6.0
X-Request-ID: kRrdCvHO",,1
GET,/blog?page=item45,"User-Agent: Mozilla/6.0
X-Request-ID: VJKnYEHw",,0
POST,/api/user?file=laptop,"User-Agent: Mozilla/6.0
X-Request-ID: HUpKbXib",,0
POST,/product?q=laptop,"User-Agent: Mozilla/5.0
X-Request-ID: sPcLAvVm",,0
PUT,/product,"User-Agent: Mozilla/6.0
X-Request-ID: JcTmFDEk",username=<script>alert(1)</script>,1
POST,/login,"User-Agent: Mozilla/5.0
X-Request-ID: fqVvPgxj",page=%3Cscript%3Ealert%281%29%3C/script%3E,1
POST,/login?id=<svg/onload=alert(1)>,"User-Agent: Mozilla/5.0
X-Request-ID: KWdRfMVk",,1
POST,/blog?id=english,"User-Agent: Mozilla/5.0
X-Request-ID: mqzfjvnb",,0
POST,/search?page=category1,"User-Agent: Mozilla/6.0
X-Request-ID: uorlTNKL",,0
POST,/api/user,"User-Agent: Mozilla/6.0
X-Request-ID: yQqoFvvz",id=%27%20OR%20%27a%27%3D%27a,1
GET,/product,"User-Agent: Mozilla/6.0
X-Request-ID: VGvmdcLt",q=%27%20AND%20SLEEP%285%29--,1
GET,/login?q=john,"User-Agent: Mozilla/5.0
X-Request-ID: GPIZxKqK",,0
GET,/login,"User-Agent: Mozilla/6.0
X-Request-ID: HFtesGtz",file=%27%20OR%201%3D1%20--,1
POST,/blog?page=laptop,"User-Agent: Mozilla/6.0
X-Request-ID: vVUFfVlI",,0
POST,/product?lang=category1,"User-Agent: Mozilla/5.0
X-Request-ID: KLAdUJiw",,0
GET,/login,"User-Agent: Mozilla/6.0
X-Request-ID: utOfnAJd",lang=' OR 1=1 --,1
GET,/blog,"User-Agent: Mozilla/6.0
X-Request-ID: cHjwSOyD",lang=%27%20OR%201%3D1%20--,1
PUT,/blog?username=123,"User-Agent: Mozilla/6.0
X-Request-ID: sWyaRpFL",,0
GET,/search?id=%7C%20whoami,"User-Agent: Mozilla/5.0
X-Request-ID: GsrfCpZU",,1
POST,/blog?q=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: jDbpqtDM",,0
GET,/login?file=true,"User-Agent: Mozilla/4.0
X-Request-ID: IsBPgZnd",,0
POST,/search?q=123,"User-Agent: Mozilla/5.0
X-Request-ID: pocyxXIC",,0
PUT,/blog?file=item45,"User-Agent: Mozilla/6.0
X-Request-ID: eyaUDWWw",,0
POST,/checkout,"User-Agent: Mozilla/6.0
X-Request-ID: SeMxYXdy",username=' OR 1=1 --,1
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: RMBOFeOk",lang=%3B%20ls%20-la,1
GET,/api/user?lang=english,"User-Agent: Mozilla/6.0
X-Request-ID: tZfOQeAi",,0
GET,/search?lang=category1,"User-Agent: Mozilla/6.0
X-Request-ID: pfyFvruD",,0
GET,/checkout?file=false,"User-Agent: Mozilla/6.0
X-Request-ID: FWbhIAqB",,0
POST,/checkout,"User-Agent: Mozilla/6.0
X-Request-ID: AkDAJGms",lang=' OR 1=1 --,1
GET,/search?page=item45,"User-Agent: Mozilla/6.0
X-Request-ID: EqJlETrx",,0
POST,/api/user?page=iphone,"User-Agent: Mozilla/5.0
X-Request-ID: BEaTwaEG",,0
GET,/checkout?q=category1,"User-Agent: Mozilla/5.0
X-Request-ID: VztNGAuP",,0
GET,/blog?q=john,"User-Agent: Mozilla/4.0
X-Request-ID: YlfkCjuV",,0
POST,/blog,"User-Agent: Mozilla/4.0
X-Request-ID: LQbZPAWS",search=| whoami,1
POST,/login?username=item45,"User-Agent: Mozilla/6.0
X-Request-ID: vquoAmve",,0
POST,/login?username=john,"User-Agent: Mozilla/5.0
X-Request-ID: VdVFMjgk",,0
PUT,"/login?page=' UNION SELECT NULL,NULL --","User-Agent: Mozilla/6.0
X-Request-ID: DnnIyjLe",,1
GET,/api/user?search=false,"User-Agent: Mozilla/6.0
X-Request-ID: ARnTugaM",,0
PUT,/product,"User-Agent: Mozilla/5.0
X-Request-ID: MXcSXPxR",file=' OR 'a'='a,1
POST,/login?file=%3Cscript%3Ealert%281%29%3C/script%3E,"User-Agent: Mozilla/4.0
X-Request-ID: plVbxyyE",,1
POST,/blog?search=iphone,"User-Agent: Mozilla/4.0
X-Request-ID: bzlgzOSd",,0
GET,/product?file=%27%20AND%20SLEEP%285%29--,"User-Agent: Mozilla/5.0
X-Request-ID: AtLfPksq",,1
POST,/blog?search=item45,"User-Agent: Mozilla/6.0
X-Request-ID: lCGlZguq",,0
PUT,/login?id=john,"User-Agent: Mozilla/4.0
X-Request-ID: jRaYuXsx",,0
PUT,/checkout?page=john,"User-Agent: Mozilla/5.0
X-Request-ID: QNadKJZX",,0
GET,/login?page=item45,"User-Agent: Mozilla/6.0
X-Request-ID: MAhmCNpW",,0
POST,/login,"User-Agent: Mozilla/5.0
X-Request-ID: LYPCYdJh",lang=../../etc/passwd,1
GET,/api/user?search=%60id%60,"User-Agent: Mozilla/5.0
X-Request-ID: bldNKari",,1
POST,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: GYVBaXJu",page=/etc/shadow,1
POST,/product?q=item45,"User-Agent: Mozilla/5.0
X-Request-ID: xpclWGYq",,0
GET,/checkout?file=123,"User-Agent: Mozilla/4.0
X-Request-ID: uolXwezt",,0
PUT,"/api/user?q=' UNION SELECT NULL,NULL --","User-Agent: Mozilla/6.0
X-Request-ID: FgqtSJlT",,1
POST,/product?q=false,"User-Agent: Mozilla/6.0
X-Request-ID: wcCLeTSY",,0
GET,/product?username=english,"User-Agent: Mozilla/6.0
X-Request-ID: qWkFNyMl",,0
GET,/product,"User-Agent: Mozilla/5.0
X-Request-ID: OaPNQELL",username=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: rTgtmCls",lang=<svg/onload=alert(1)>,1
POST,/checkout?file=true,"User-Agent: Mozilla/5.0
X-Request-ID: ROTEUYHG",,0
POST,/api/user?q=/etc/shadow,"User-Agent: Mozilla/4.0
X-Request-ID: DHObrjKd",,1
PUT,/api/user?lang=english,"User-Agent: Mozilla/6.0
X-Request-ID: EcpDBmKU",,0
PUT,/checkout?q=category1,"User-Agent: Mozilla/4.0
X-Request-ID: RVbYNBfq",,0
GET,/product?lang=english,"User-Agent: Mozilla/4.0
X-Request-ID: PDzgdBLK",,0
PUT,/login?search=item45,"User-Agent: Mozilla/5.0
X-Request-ID: PbqaPUdk",,0
GET,/search?username=item45,"User-Agent: Mozilla/4.0
X-Request-ID: LERztZrw",,0
GET,/search?file=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: uQHTDfQz",,0
POST,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: TKUJrOPW",file=| whoami,1
GET,/search?search=%22%20onmouseover%3Dalert%281%29%20%22,"User-Agent: Mozilla/6.0
X-Request-ID: FJXrYwtW",,1
PUT,/api/user?username=../../etc/passwd,"User-Agent: Mozilla/6.0
X-Request-ID: chWjXeMd",,1
PUT,/checkout?q=123,"User-Agent: Mozilla/6.0
X-Request-ID: ERQarJIG",,0
GET,/search?id=laptop,"User-Agent: Mozilla/6.0
X-Request-ID: aWOdQQXX",,0
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: SkFnbTgg",search=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,1
PUT,/product?page=%26%26%20cat%20/etc/passwd,"User-Agent: Mozilla/6.0
X-Request-ID: AFHNIPhZ",,1
GET,/api/user?page=item45,"User-Agent: Mozilla/6.0
X-Request-ID: zmvMQadp",,0
GET,/blog?lang=english,"User-Agent: Mozilla/6.0
X-Request-ID: vhHSdxHi",,0
PUT,/api/user?search=<img src=x onerror=alert(1)>,"User-Agent: Mozilla/6.0
X-Request-ID: KVfhflOZ",,1
POST,/login?page=false,"User-Agent: Mozilla/5.0
X-Request-ID: YpBPGZGC",,0
POST,/api/user?file=123,"User-Agent: Mozilla/6.0
X-Request-ID: kwdWkREc",,0
POST,/blog?id=category1,"User-Agent: Mozilla/4.0
X-Request-ID: SaVySRPy",,0
PUT,/blog?id=iphone,"User-Agent: Mozilla/5.0
X-Request-ID: QfVGMmmS",,0
POST,/blog?id=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: ywqocDIo",,0
PUT,/product?file=%26%26%20cat%20/etc/passwd,"User-Agent: Mozilla/6.0
X-Request-ID: IuVexRZh",,1
POST,/product,"User-Agent: Mozilla/6.0
X-Request-ID: ySdktaYd",page=&& cat /etc/passwd,1
POST,/checkout?search=123,"User-Agent: Mozilla/6.0
X-Request-ID: tBOrevJy",,0
GET,/search?lang=false,"User-Agent: Mozilla/5.0
X-Request-ID: bFPdFVSU",,0
GET,/checkout?search=%27%20AND%20SLEEP%285%29--,"User-Agent: Mozilla/5.0
X-Request-ID: stpGmspD",,1
PUT,/checkout,"User-Agent: Mozilla/6.0
X-Request-ID: AHhIMREs",id=%27%20UNION%20SELECT%20NULL%2CNULL%20--,1
GET,/product?id='; DROP TABLE users; --,"User-Agent: Mozilla/5.0
X-Request-ID: fxTwfgkU",,1
PUT,/search?username=iphone,"User-Agent: Mozilla/4.0
X-Request-ID: QBHjNUhg",,0
PUT,/login?file=english,"User-Agent: Mozilla/5.0
X-Request-ID: ZoreEroP",,0
GET,/blog?id=%27%20OR%20%27a%27%3D%27a,"User-Agent: Mozilla/4.0
X-Request-ID: HgPueUdF",,1
GET,/api/user?file=english,"User-Agent: Mozilla/5.0
X-Request-ID: rYQurwjq",,0
PUT,/product?file=false,"User-Agent: Mozilla/6.0
X-Request-ID: qOopcdxB",,0
GET,/checkout?file=john,"User-Agent: Mozilla/6.0
X-Request-ID: NdvvYoGU",,0
PUT,/search?username=english,"User-Agent: Mozilla/5.0
X-Request-ID: pyuZdDXL",,0
PUT,/product,"User-Agent: Mozilla/4.0
X-Request-ID: bOXsOGcE",username=' AND SLEEP(5)--,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: OpXlShDy",file=../../etc/passwd,1
PUT,/checkout?id=123,"User-Agent: Mozilla/5.0
X-Request-ID: YvNsBlJi",,0
PUT,/login?q=item45,"User-Agent: Mozilla/5.0
X-Request-ID: jCwzOlTm",,0
GET,/login,"User-Agent: Mozilla/6.0
X-Request-ID: NJiriHoT",search=/etc/shadow,1
PUT,/blog,"User-Agent: Mozilla/4.0
X-Request-ID: oPuLsGEJ",search=%27%20OR%201%3D1%20--,1
PUT,/login?page=john,"User-Agent: Mozilla/4.0
X-Request-ID: fqDiAVJC",,0
GET,/blog?q=english,"User-Agent: Mozilla/5.0
X-Request-ID: YrLFqpaG",,0
PUT,/checkout?q=category1,"User-Agent: Mozilla/4.0
X-Request-ID: SKjzlqwX",,0
PUT,/search?username=english,"User-Agent: Mozilla/6.0
X-Request-ID: AyFfJMxe",,0
POST,/checkout?page=`id`,"User-Agent: Mozilla/4.0
X-Request-ID: FhOOarfF",,1
GET,/blog?search=item45,"User-Agent: Mozilla/6.0
X-Request-ID: HuNIgbMq",,0
POST,/product?username=%27%20OR%20%27a%27%3D%27a,"User-Agent: Mozilla/6.0
X-Request-ID: iXymEVyT",,1
PUT,/checkout?username=item45,"User-Agent: Mozilla/5.0
X-Request-ID: PGENBDas",,0
POST,/login?lang=iphone,"User-Agent: Mozilla/4.0
X-Request-ID: jNNIfqty",,0
GET,/product?file=%27%20OR%201%3D1%20--,"User-Agent: Mozilla/4.0
X-Request-ID: sZDyppoH",,1
GET,/checkout,"User-Agent: Mozilla/5.0
X-Request-ID: XLccIfdj",file=%27%20UNION%20SELECT%20NULL%2CNULL%20--,1
POST,/product?username=%22%20onmouseover%3Dalert%281%29%20%22,"User-Agent: Mozilla/6.0
X-Request-ID: VSLUUVCn",,1
POST,/search?page=false,"User-Agent: Mozilla/5.0
X-Request-ID: srxUejDZ",,0
PUT,/blog?id=123,"User-Agent: Mozilla/6.0
X-Request-ID: CmUMBlaC",,0
POST,/blog?file=item45,"User-Agent: Mozilla/5.0
X-Request-ID: FzpEPpxV",,0
PUT,/checkout?file=english,"User-Agent: Mozilla/6.0
X-Request-ID: wpoRgdEV",,0
GET,/blog?page=john,"User-Agent: Mozilla/6.0
X-Request-ID: MwMQulXG",,0
POST,/api/user?search=/etc/shadow,"User-Agent: Mozilla/6.0
X-Request-ID: EfOmCjBK",,1
GET,/product?q=../../etc/passwd,"User-Agent: Mozilla/6.0
X-Request-ID: mQooKcHM",,1
PUT,/api/user?page=123,"User-Agent: Mozilla/5.0
X-Request-ID: iDTbAXcQ",,0
PUT,/api/user?file=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: ySlvVThk",,0
POST,/search,"User-Agent: Mozilla/4.0
X-Request-ID: GIorEvoX",q=<img src=x onerror=alert(1)>,1
POST,/product,"User-Agent: Mozilla/4.0
X-Request-ID: foeHGlwN",lang=/etc/shadow,1
GET,/checkout?q=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: cBxwurnr",,0
GET,/checkout?username=laptop,"User-Agent: Mozilla/5.0
X-Request-ID: IRhHjQMt",,0
PUT,/blog?file=123,"User-Agent: Mozilla/5.0
X-Request-ID: irAXoniC",,0
PUT,/login?page=<img src=x onerror=alert(1)>,"User-Agent: Mozilla/5.0
X-Request-ID: DAOVKewv",,1
POST,/search?username=123,"User-Agent: Mozilla/6.0
X-Request-ID: UdTSwEyR",,0
GET,/login?lang=category1,"User-Agent: Mozilla/6.0
X-Request-ID: fjodhLbE",,0
GET,/product?file=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: mPeTIdXr",,0
POST,/search?username=%27%20OR%20%27a%27%3D%27a,"User-Agent: Mozilla/4.0
X-Request-ID: PmsohWaG",,1
POST,/login,"User-Agent: Mozilla/4.0
X-Request-ID: zMODmqYU",lang=`id`,1
PUT,/api/user?id=%7C%20whoami,"User-Agent: Mozilla/5.0
X-Request-ID: YTaPKfym",,1
POST,/product?id=iphone,"User-Agent: Mozilla/5.0
X-Request-ID: SLDDnceg",,0
PUT,/product?id=category1,"User-Agent: Mozilla/4.0
X-Request-ID: oilIWnRv",,0
POST,/blog?id=true,"User-Agent: Mozilla/4.0
X-Request-ID: wqPOGDdR",,0
POST,/checkout,"User-Agent: Mozilla/4.0
X-Request-ID: hfUGWJLn",username=&& cat /etc/passwd,1
POST,/blog?page=%22%20onmouseover%3Dalert%281%29%20%22,"User-Agent: Mozilla/4.0
X-Request-ID: rVRrsVTY",,1
PUT,/blog?search=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: LuSjFEjw",,0
PUT,/checkout?username=false,"User-Agent: Mozilla/5.0
X-Request-ID: mOXJckNw",,0
PUT,/api/user?search=`id`,"User-Agent: Mozilla/6.0
X-Request-ID: WbkKSfaA",,1
POST,/search?page=iphone,"User-Agent: Mozilla/4.0
X-Request-ID: ULaeoXfU",,0
POST,/product?lang=laptop,"User-Agent: Mozilla/6.0
X-Request-ID: hPOOyfPF",,0
GET,/blog?lang=laptop,"User-Agent: Mozilla/5.0
X-Request-ID: iBfxBagt",,0
PUT,/product,"User-Agent: Mozilla/5.0
X-Request-ID: ADSpuoas",lang=' OR 1=1 --,1
GET,/product?page=english,"User-Agent: Mozilla/4.0
X-Request-ID: OXtEVfrr",,0
GET,/search?q=true,"User-Agent: Mozilla/5.0
X-Request-ID: KdSPrgNd",,0
GET,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: BGjZzUOf","username="" onmouseover=alert(1) """,1
PUT,/api/user,"User-Agent: Mozilla/6.0
X-Request-ID: KkEXrnSM",page=%27%20OR%20%27a%27%3D%27a,1
POST,/login,"User-Agent: Mozilla/5.0
X-Request-ID: WPzYswut",lang=%22%20onmouseover%3Dalert%281%29%20%22,1
POST,/login?q=false,"User-Agent: Mozilla/6.0
X-Request-ID: KVKmoVNU",,0
POST,/product?search=%22%20onmouseover%3Dalert%281%29%20%22,"User-Agent: Mozilla/5.0
X-Request-ID: PiEJmLrF",,1
PUT,/search?q=item45,"User-Agent: Mozilla/5.0
X-Request-ID: dRzUBijd",,0
POST,/blog?search=' AND SLEEP(5)--,"User-Agent: Mozilla/5.0
X-Request-ID: UNjdMpRj",,1
PUT,/checkout,"User-Agent: Mozilla/6.0
X-Request-ID: MxBvSncI",lang=| whoami,1
POST,/api/user?id=item45,"User-Agent: Mozilla/4.0
X-Request-ID: cYjvHxab",,0
PUT,/search,"User-Agent: Mozilla/6.0
X-Request-ID: XPVZAsfq",lang=`id`,1
GET,/search?search=<svg/onload=alert(1)>,"User-Agent: Mozilla/4.0
X-Request-ID: dbtYmDCO",,1
GET,/blog?file=false,"User-Agent: Mozilla/5.0
X-Request-ID: VnmFHyZi",,0
PUT,/api/user,"User-Agent: Mozilla/6.0
X-Request-ID: awzrIgvy",id=/etc/shadow,1
GET,/blog?username=123,"User-Agent: Mozilla/4.0
X-Request-ID: TZzgwWdQ",,0
POST,/login?q=category1,"User-Agent: Mozilla/4.0
X-Request-ID: eGYfHFph",,0
PUT,/checkout?lang=item45,"User-Agent: Mozilla/6.0
X-Request-ID: TTKGTtES",,0
PUT,/checkout?search=english,"User-Agent: Mozilla/5.0
X-Request-ID: cdIXpJdo",,0
PUT,/login?id=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: jNnhpOlG",,0
POST,/checkout?id=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: EPgRNWWQ",,0
POST,/checkout?lang=<img src=x onerror=alert(1)>,"User-Agent: Mozilla/4.0
X-Request-ID: BHmuyAIO",,1
POST,/checkout?page=category1,"User-Agent: Mozilla/4.0
X-Request-ID: ybmgbZrX",,0
PUT,/login?search=| whoami,"User-Agent: Mozilla/4.0
X-Request-ID: PVotQMvG",,1
PUT,/checkout,"User-Agent: Mozilla/4.0
X-Request-ID: nVdGaPxa",id=%27%20OR%20%27a%27%3D%27a,1
GET,/search,"User-Agent: Mozilla/4.0
X-Request-ID: fsPEbSjj",q=%7C%20whoami,1
POST,/login?q=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: TfJqNFvE",,0
PUT,/login,"User-Agent: Mozilla/6.0
X-Request-ID: afvAYoQS",username=/etc/shadow,1
PUT,/api/user?search=category1,"User-Agent: Mozilla/5.0
X-Request-ID: nsrWqxbi",,0
GET,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: KFCRySst",username=<img src=x onerror=alert(1)>,1
PUT,/product?search=<svg/onload=alert(1)>,"User-Agent: Mozilla/6.0
X-Request-ID: RDMmjSrw",,1
PUT,/product?search=english,"User-Agent: Mozilla/5.0
X-Request-ID: wpOinAEp",,0
POST,/search?page=item45,"User-Agent: Mozilla/6.0
X-Request-ID: QEVfMJzD",,0
GET,/login?username=john,"User-Agent: Mozilla/5.0
X-Request-ID: aBLFzUiF",,0
POST,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: aqkAloHs",search=' OR 'a'='a,1
POST,/search?file='; DROP TABLE users; --,"User-Agent: Mozilla/6.0
X-Request-ID: yAAWJJbY",,1
POST,/api/user?username=john,"User-Agent: Mozilla/4.0
X-Request-ID: DUAIYVnt",,0
PUT,/api/user?q=false,"User-Agent: Mozilla/4.0
X-Request-ID: TGOKJnTz",,0
GET,/search?username=english,"User-Agent: Mozilla/5.0
X-Request-ID: XDROTFIx",,0
PUT,/login?username=%60id%60,"User-Agent: Mozilla/5.0
X-Request-ID: uwThHHUh",,1
POST,/product,"User-Agent: Mozilla/6.0
X-Request-ID: AGPWFJpy",q=; ls -la,1
PUT,/blog?lang=true,"User-Agent: Mozilla/6.0
X-Request-ID: ExGNuBBz",,0
POST,/checkout?lang=%27%20UNION%20SELECT%20NULL%2CNULL%20--,"User-Agent: Mozilla/6.0
X-Request-ID: xuqKXjLO",,1
GET,/blog?q=123,"User-Agent: Mozilla/5.0
X-Request-ID: RILkKKCz",,0
POST,/checkout?lang=123,"User-Agent: Mozilla/4.0
X-Request-ID: PyyAeKlz",,0
PUT,/search?file=<img src=x onerror=alert(1)>,"User-Agent: Mozilla/4.0
X-Request-ID: jWVoApQO",,1
PUT,/product?lang=category1,"User-Agent: Mozilla/6.0
X-Request-ID: gIcanuse",,0
PUT,/search?q=john,"User-Agent: Mozilla/5.0
X-Request-ID: SAjNMDRP",,0
